Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,400,400,37,0.9875
Original,400,400,38,0.995
Original,400,400,39,0.995
Original,400,400,40,0.9825
Original,400,400,41,1
Original,400,400,42,1
Original,400,400,43,0.9975
Original,400,400,44,0.9975
Original,400,400,45,0.9975
Original,400,400,46,0.9975
Original,400,400,47,0.9975
Original,400,400,48,0.9925
Original,400,400,49,1
Original,400,400,50,0.9875
Original,400,400,51,0.99
Original,400,400,52,0.995
Original,400,400,53,0.995
Original,400,400,54,0.9975
Original,400,400,55,0.995
Original,400,400,56,0.9975
Original,400,400,57,0.995
Original,400,400,58,0.9975
Original,400,400,59,0.995
Original,400,400,60,1
Original,400,400,61,0.9975
Original,400,400,62,0.9925
Original,400,400,63,0.995
Original,400,400,64,1
Original,400,400,65,0.995
Original,400,400,66,1
Original,400,400,67,0.9975
Original,400,400,68,0.995
Original,400,400,69,0.99
Original,400,400,70,0.995
Original,400,400,71,0.9975
Original,400,400,72,0.99
Original,400,400,73,1
